Sex,Race,Age,Age Group,Education,Work Class,Occupation,Marital Status,Relationship,Income
Male,White,50,50s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,49,40s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,33,30s,HS-grad,Private,Exec-managerial,Married,Husband,<=50K
Male,White,51,50s,Associate,Private,Craft-repair,Married,Husband,<=50K
Male,White,42,40s,Bachelors,Private,Prof-specialty,Married,Husband,<=50K
Female,Black,47,40s,HS-grad,Private,Other-service,Married,Wife,<=50K
Male,White,32,30s,HS-grad,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,49,40s,Associate,Private,Craft-repair,Married,Husband,<=50K
Male,White,49,40s,HS-grad,Self-emp-not-inc,Craft-repair,Married,Husband,<=50K
Male,White,31,30s,HS-grad,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,52,50s,HS-grad,State-gov,Craft-repair,Married,Husband,<=50K
Female,White,32,30s,Bachelors,Local-gov,Prof-specialty,Married,Wife,<=50K
Male,White,63,60s,Masters,Private,Tech-support,Married,Husband,<=50K
Female,White,39,30s,Bachelors,Private,Prof-specialty,Married,Wife,<=50K
Male,White,56,50s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,35,30s,HS-grad,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,53,50s,HS-grad,Local-gov,Craft-repair,Married,Husband,<=50K
Male,White,57,50s,Some-college,Private,Sales,Married,Husband,<=50K
Male,White,29,20s,Some-college,Private,Craft-repair,Married,Husband,<=50K
Male,White,47,40s,HS-grad,Private,Prof-specialty,Married,Husband,<=50K
Male,White,52,50s,Some-college,Private,Craft-repair,Married,Husband,<=50K
Male,Asian-Pac-Islander,51,50s,Masters,Private,Prof-specialty,Married,Husband,<=50K
Male,White,24,20s,Bachelors,Private,Prof-specialty,Married,Husband,<=50K
Female,White,37,30s,Some-college,Private,Tech-support,Married,Wife,<=50K
Male,White,43,40s,Masters,Federal-gov,Handlers-cleaners,Married,Husband,<=50K
Male,White,28,20s,Some-college,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,36,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,49,40s,HS-grad,Private,Sales,Married,Husband,<=50K
Female,White,45,40s,Bachelors,Local-gov,Prof-specialty,Divorced,Unmarried,>50K
Male,White,40,40s,Some-college,Private,Craft-repair,Separated,Unmarried,>50K
Female,White,37,30s,Bachelors,Private,Prof-specialty,Separated,Unmarried,>50K
Male,White,60,60s,Associate,Federal-gov,Prof-specialty,Divorced,Unmarried,>50K
Male,White,52,50s,HS-grad,Local-gov,Tech-support,Divorced,Unmarried,>50K
Male,White,43,40s,Some-college,Private,Transport-moving,Separated,Unmarried,>50K
Male,White,43,40s,Masters,Private,Exec-managerial,Widowed,Unmarried,>50K
Male,White,75,70s,Doctorate,Self-emp-not-inc,Prof-specialty,Married,Husband,<=50K
Female,White,45,40s,HS-grad,Federal-gov,Tech-support,Divorced,Not-in-family,<=50K
Male,White,34,30s,Masters,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Female,White,34,30s,HS-grad,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Female,White,26,20s,Bachelors,Local-gov,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,34,30s,Bachelors,State-gov,Prof-specialty,Divorced,Not-in-family,<=50K
Male,White,27,20s,HS-grad,Federal-gov,Adm-clerical,Divorced,Not-in-family,<=50K
Male,White,30,30s,Bachelors,Private,Transport-moving,Never-married,Not-in-family,<=50K
Female,White,36,30s,HS-grad,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Female,White,27,20s,Bachelors,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Female,White,28,20s,Some-college,Private,Tech-support,Never-married,Not-in-family,<=50K
Female,White,52,50s,Associate,Local-gov,Other-service,Divorced,Not-in-family,<=50K
Female,White,37,30s,Bachelors,Local-gov,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,59,50s,<HS,Private,Farming-fishing,Never-married,Unmarried,<=50K
Female,White,32,30s,Masters,Local-gov,Prof-specialty,Never-married,Not-in-family,<=50K
Female,White,25,20s,Associate,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,55,50s,HS-grad,Private,Machine-op-inspct,Separated,Not-in-family,<=50K
Female,White,34,30s,Masters,Self-emp-inc,Prof-specialty,Separated,Not-in-family,>50K
Female,White,64,60s,Doctorate,State-gov,Prof-specialty,Never-married,Not-in-family,>50K
Female,White,51,50s,Doctorate,Private,Craft-repair,Divorced,Not-in-family,>50K
Male,Black,40,40s,Some-college,Private,Other-service,Divorced,Not-in-family,>50K
Female,White,51,50s,HS-grad,Private,Adm-clerical,Divorced,Unmarried,>50K
Male,White,58,50s,HS-grad,Private,Tech-support,Divorced,Not-in-family,>50K
Male,White,39,30s,Doctorate,Self-emp-not-inc,Prof-specialty,Never-married,Not-in-family,>50K
Female,White,34,30s,Masters,Self-emp-inc,Exec-managerial,Never-married,Not-in-family,>50K
Male,Black,61,60s,Bachelors,Private,Sales,Divorced,Not-in-family,>50K
Female,White,30,30s,Bachelors,Private,Tech-support,Never-married,Not-in-family,>50K
Male,White,58,50s,Bachelors,Federal-gov,Prof-specialty,Separated,Not-in-family,>50K
Male,White,35,30s,HS-grad,Private,Sales,Never-married,Not-in-family,>50K
Female,White,46,40s,Bachelors,Local-gov,Prof-specialty,Divorced,Not-in-family,>50K
Female,White,52,50s,Masters,Local-gov,Exec-managerial,Divorced,Not-in-family,>50K
Male,White,46,40s,Bachelors,Local-gov,Prof-specialty,Never-married,Own-child,>50K
Male,Black,39,30s,Some-college,Private,Prof-specialty,Never-married,Not-in-family,>50K
Female,White,38,30s,Bachelors,Local-gov,Protective-serv,Never-married,Not-in-family,>50K
Male,White,49,40s,Masters,Private,Sales,Divorced,Not-in-family,>50K
Male,White,30,30s,Associate,Private,Craft-repair,Never-married,Not-in-family,>50K
Male,White,53,50s,HS-grad,Private,Prof-specialty,Divorced,Not-in-family,>50K
Female,White,59,50s,Masters,Local-gov,Prof-specialty,Widowed,Unmarried,>50K
Female,White,52,50s,Masters,State-gov,Exec-managerial,Married,Unmarried,>50K
Female,White,45,40s,Bachelors,Private,Adm-clerical,Divorced,Unmarried,>50K
Female,Black,42,40s,Masters,Private,Tech-support,Divorced,Unmarried,>50K
Female,White,39,30s,HS-grad,Private,Sales,Divorced,Not-in-family,>50K
Male,White,29,20s,Bachelors,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,31,30s,Bachelors,Private,Exec-managerial,Divorced,Not-in-family,<=50K
Male,White,35,30s,HS-grad,Self-emp-not-inc,Exec-managerial,Never-married,Not-in-family,<=50K
Male,White,36,30s,<HS,Private,Handlers-cleaners,Divorced,Not-in-family,<=50K
Male,White,36,30s,<HS,Private,Exec-managerial,Never-married,Not-in-family,<=50K
Male,White,42,40s,Masters,Private,Prof-specialty,Divorced,Not-in-family,<=50K
Female,White,53,50s,Some-college,State-gov,Adm-clerical,Divorced,Other-relative,<=50K
Female,White,49,40s,Masters,Local-gov,Prof-specialty,Never-married,Not-in-family,<=50K
Male,Amer-Indian-Eskimo,39,30s,HS-grad,Local-gov,Protective-serv,Never-married,Own-child,<=50K
Male,White,31,30s,<HS,Private,Sales,Never-married,Not-in-family,<=50K
Male,White,30,30s,HS-grad,Self-emp-inc,Exec-managerial,Divorced,Not-in-family,<=50K
Male,White,39,30s,HS-grad,Private,Tech-support,Never-married,Not-in-family,<=50K
Female,White,25,20s,Masters,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,37,30s,Associate,Local-gov,Protective-serv,Never-married,Not-in-family,<=50K
Male,Asian-Pac-Islander,35,30s,Some-college,Private,Prof-specialty,Never-married,Unmarried,<=50K
Female,White,39,30s,HS-grad,Private,Prof-specialty,Divorced,Not-in-family,<=50K
Male,White,40,40s,Bachelors,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,42,40s,Bachelors,Local-gov,Exec-managerial,Never-married,Own-child,<=50K
Male,Black,41,40s,Some-college,Federal-gov,Adm-clerical,Married,Not-in-family,<=50K
Female,Asian-Pac-Islander,35,30s,Bachelors,Private,Tech-support,Never-married,Not-in-family,<=50K
Male,White,32,30s,Some-college,Private,Craft-repair,Never-married,Not-in-family,<=50K
Female,White,42,40s,Masters,Private,Exec-managerial,Never-married,Not-in-family,<=50K
Male,White,47,40s,HS-grad,Private,Machine-op-inspct,Divorced,Not-in-family,<=50K
Female,White,28,20s,Associate,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,23,20s,HS-grad,Private,Craft-repair,Divorced,Not-in-family,<=50K
Female,White,55,50s,Some-college,Private,Adm-clerical,Divorced,Unmarried,<=50K
Female,White,23,20s,Some-college,Private,Other-service,Never-married,Own-child,<=50K
Male,White,45,40s,Some-college,Private,Sales,Divorced,Not-in-family,<=50K
Male,White,43,40s,HS-grad,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Female,White,38,30s,Some-college,Private,Other-service,Separated,Not-in-family,<=50K
Female,White,40,40s,Bachelors,Private,Exec-managerial,Never-married,Not-in-family,<=50K
Female,White,50,50s,Masters,Local-gov,Exec-managerial,Divorced,Not-in-family,<=50K
Male,White,33,30s,Bachelors,Private,Prof-specialty,Separated,Not-in-family,<=50K
Male,White,31,30s,Some-college,Private,Craft-repair,Divorced,Own-child,<=50K
Female,White,41,40s,Masters,Private,Prof-specialty,Widowed,Not-in-family,<=50K
Male,White,60,60s,HS-grad,Private,Machine-op-inspct,Divorced,Not-in-family,<=50K
Male,White,62,60s,Masters,Private,Handlers-cleaners,Never-married,Not-in-family,<=50K
Male,White,50,50s,Some-college,Private,Craft-repair,Divorced,Not-in-family,<=50K
Male,White,41,40s,Some-college,Private,Exec-managerial,Divorced,Not-in-family,<=50K
Male,Black,32,30s,Associate,Federal-gov,Tech-support,Never-married,Own-child,<=50K
Male,Asian-Pac-Islander,57,50s,Bachelors,Private,Exec-managerial,Married,Husband,<=50K
Female,Asian-Pac-Islander,32,30s,<HS,Private,Machine-op-inspct,Married,Wife,<=50K
Male,White,23,20s,<HS,Private,Transport-moving,Married,Husband,<=50K
Male,White,39,30s,HS-grad,Private,Adm-clerical,Married,Husband,<=50K
Female,White,22,20s,HS-grad,Private,Priv-house-serv,Married,Wife,<=50K
Male,White,56,50s,Bachelors,Private,Exec-managerial,Married,Husband,<=50K
Male,White,43,40s,<HS,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,28,20s,<HS,Private,Sales,Married,Husband,<=50K
Female,White,21,20s,<HS,Self-emp-not-inc,Adm-clerical,Married,Wife,<=50K
Male,White,34,30s,HS-grad,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,32,30s,Prof-school,Private,Sales,Married,Husband,<=50K
Male,White,38,30s,Bachelors,Private,Transport-moving,Married,Husband,<=50K
Male,White,27,20s,HS-grad,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,25,20s,HS-grad,Private,Sales,Never-married,Not-in-family,<=50K
Male,White,25,20s,HS-grad,Private,Machine-op-inspct,Never-married,Own-child,<=50K
Male,White,50,50s,Bachelors,Self-emp-not-inc,Craft-repair,Never-married,Not-in-family,<=50K
Male,Black,49,40s,<HS,Private,Exec-managerial,Separated,Not-in-family,<=50K
Male,White,33,30s,HS-grad,Private,Handlers-cleaners,Never-married,Own-child,<=50K
Male,White,22,20s,HS-grad,Without-pay,Handlers-cleaners,Never-married,Own-child,<=50K
Male,White,56,50s,Some-college,Private,Exec-managerial,Widowed,Not-in-family,<=50K
Male,White,34,30s,HS-grad,Private,Machine-op-inspct,Never-married,Not-in-family,<=50K
Female,Black,25,20s,HS-grad,Private,Adm-clerical,Never-married,Own-child,<=50K
Female,White,20,20s,Some-college,Private,Other-service,Never-married,Other-relative,<=50K
Male,White,38,30s,HS-grad,Self-emp-not-inc,Craft-repair,Married,Husband,<=50K
Male,White,55,50s,HS-grad,Private,Sales,Married,Husband,>50K
Male,White,40,40s,Associate,Private,Tech-support,Married,Husband,<=50K
Female,White,53,50s,Some-college,Private,Adm-clerical,Married,Wife,>50K
Male,White,55,50s,HS-grad,Private,Craft-repair,Married,Husband,>50K
Male,White,50,50s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,45,40s,Bachelors,Self-emp-inc,Farming-fishing,Married,Husband,>50K
Male,White,38,30s,Associate,Private,Craft-repair,Married,Husband,>50K
Male,White,53,50s,<HS,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,Black,46,40s,HS-grad,Private,Machine-op-inspct,Married,Husband,>50K
Male,White,42,40s,HS-grad,Private,Machine-op-inspct,Married,Husband,>50K
Male,White,51,50s,HS-grad,Private,Exec-managerial,Married,Husband,>50K
Male,Black,43,40s,HS-grad,Private,Machine-op-inspct,Married,Husband,>50K
Male,White,47,40s,HS-grad,Local-gov,Other-service,Married,Husband,>50K
Male,White,51,50s,HS-grad,Federal-gov,Craft-repair,Married,Husband,>50K
Male,White,31,30s,Associate,Private,Sales,Married,Husband,>50K
Male,White,30,30s,Masters,Private,Adm-clerical,Married,Husband,>50K
Male,White,44,40s,<HS,Private,Machine-op-inspct,Married,Husband,<=50K
Male,Black,29,20s,Bachelors,Private,Handlers-cleaners,Married,Husband,>50K
Male,White,48,40s,Bachelors,Private,Sales,Married,Husband,>50K
Male,White,51,50s,HS-grad,Private,Machine-op-inspct,Married,Husband,>50K
Male,White,35,30s,Bachelors,Private,Exec-managerial,Married,Husband,>50K
Male,White,48,40s,HS-grad,Private,Machine-op-inspct,Married,Husband,>50K
Male,White,41,40s,Bachelors,Private,Exec-managerial,Married,Husband,>50K
Male,White,54,50s,Masters,Self-emp-not-inc,Sales,Married,Husband,>50K
Female,White,31,30s,HS-grad,Private,Machine-op-inspct,Married,Wife,>50K
Male,White,44,40s,Associate,Private,Exec-managerial,Married,Husband,>50K
Male,White,51,50s,Doctorate,Federal-gov,Prof-specialty,Married,Husband,>50K
Male,White,63,60s,<HS,Private,Protective-serv,Married,Husband,>50K
Male,White,51,50s,<HS,Private,Sales,Married,Husband,>50K
Female,White,35,30s,HS-grad,Private,Adm-clerical,Married,Wife,>50K
Male,White,52,50s,HS-grad,Private,Machine-op-inspct,Married,Husband,>50K
Male,White,24,20s,HS-grad,Private,Handlers-cleaners,Married,Husband,>50K
Male,White,33,30s,HS-grad,Private,Exec-managerial,Married,Husband,<=50K
Male,White,44,40s,Associate,Local-gov,Transport-moving,Married,Husband,>50K
Male,White,57,50s,Bachelors,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,47,40s,HS-grad,Private,Sales,Married,Husband,>50K
Male,White,44,40s,Associate,Private,Sales,Married,Husband,>50K
Male,White,45,40s,Masters,Private,Exec-managerial,Married,Husband,<=50K
Male,White,37,30s,Associate,Private,Craft-repair,Married,Husband,>50K
Male,White,31,30s,Some-college,Private,Craft-repair,Married,Husband,>50K
Male,White,53,50s,Associate,State-gov,Prof-specialty,Married,Husband,>50K
Male,White,34,30s,Associate,Private,Prof-specialty,Married,Husband,>50K
Female,White,29,20s,HS-grad,Private,Other-service,Married,Wife,>50K
Male,White,53,50s,Some-college,Local-gov,Protective-serv,Married,Husband,>50K
Female,White,44,40s,Masters,Local-gov,Prof-specialty,Married,Wife,>50K
Male,White,48,40s,HS-grad,Private,Adm-clerical,Married,Husband,>50K
Male,Black,34,30s,Some-college,State-gov,Prof-specialty,Married,Husband,>50K
Male,White,44,40s,Some-college,Private,Craft-repair,Married,Husband,<=50K
Male,White,29,20s,Some-college,Self-emp-not-inc,Exec-managerial,Married,Other-relative,>50K
Male,White,51,50s,HS-grad,Local-gov,Craft-repair,Married,Husband,>50K
Male,White,37,30s,HS-grad,Private,Exec-managerial,Married,Husband,>50K
Female,White,34,30s,Some-college,Private,Sales,Married,Wife,<=50K
Male,White,40,40s,Some-college,Private,Sales,Married,Husband,<=50K
Male,White,46,40s,Some-college,Private,Craft-repair,Married,Husband,>50K
Male,White,37,30s,Some-college,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,36,30s,Bachelors,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,31,30s,Associate,Private,Craft-repair,Married,Husband,>50K
Male,Asian-Pac-Islander,53,50s,Masters,Private,Prof-specialty,Married,Husband,>50K
Male,White,46,40s,HS-grad,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,32,30s,Some-college,Private,Sales,Married,Husband,<=50K
Male,Black,38,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,43,40s,Some-college,Local-gov,Tech-support,Married,Husband,>50K
Male,Black,53,50s,HS-grad,Private,Other-service,Married,Husband,>50K
Male,White,45,40s,Associate,Private,Craft-repair,Married,Husband,>50K
Male,White,41,40s,Associate,Private,Sales,Married,Husband,>50K
Male,White,63,60s,Some-college,Private,Prof-specialty,Married,Husband,>50K
Male,White,42,40s,Associate,Self-emp-not-inc,Transport-moving,Married,Husband,>50K
Male,White,40,40s,Some-college,Private,Machine-op-inspct,Married,Husband,>50K
Male,White,24,20s,HS-grad,Private,Exec-managerial,Never-married,Other-relative,<=50K
Female,White,21,20s,Some-college,Private,Exec-managerial,Never-married,Not-in-family,<=50K
Female,White,32,30s,Some-college,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Female,White,56,50s,Associate,Private,Adm-clerical,Divorced,Unmarried,<=50K
Male,White,35,30s,Some-college,Self-emp-not-inc,Farming-fishing,Separated,Not-in-family,<=50K
Female,White,43,40s,HS-grad,Private,Other-service,Separated,Not-in-family,<=50K
Male,White,31,30s,Bachelors,Private,Sales,Never-married,Not-in-family,<=50K
Female,White,56,50s,HS-grad,Private,Prof-specialty,Divorced,Not-in-family,<=50K
Female,White,23,20s,Some-college,Private,Tech-support,Never-married,Not-in-family,<=50K
Female,White,21,20s,HS-grad,Private,Sales,Never-married,Own-child,<=50K
Male,White,25,20s,Bachelors,Private,Exec-managerial,Never-married,Not-in-family,<=50K
Male,White,31,30s,HS-grad,Private,Craft-repair,Never-married,Own-child,<=50K
Female,White,27,20s,Bachelors,State-gov,Prof-specialty,Never-married,Not-in-family,<=50K
Female,Other,37,30s,Associate,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,19,<20,HS-grad,Private,Sales,Never-married,Not-in-family,<=50K
Male,White,23,20s,Some-college,Private,Transport-moving,Never-married,Not-in-family,<=50K
Female,Black,28,20s,Bachelors,Local-gov,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,54,50s,<HS,State-gov,Other-service,Never-married,Own-child,<=50K
Male,White,36,30s,HS-grad,Private,Machine-op-inspct,Divorced,Not-in-family,<=50K
Male,Asian-Pac-Islander,25,20s,HS-grad,Private,Other-service,Never-married,Other-relative,<=50K
Female,White,28,20s,Some-college,Private,Sales,Married,Wife,<=50K
Male,White,59,50s,Some-college,Private,Sales,Married,Husband,<=50K
Male,Asian-Pac-Islander,58,50s,Doctorate,State-gov,Prof-specialty,Married,Husband,<=50K
Female,White,43,40s,Some-college,Private,Adm-clerical,Married,Wife,<=50K
Male,White,39,30s,HS-grad,Private,Sales,Married,Husband,<=50K
Male,White,26,20s,Bachelors,Private,Sales,Married,Husband,<=50K
Male,White,63,60s,HS-grad,Private,Sales,Married,Husband,<=50K
Female,White,32,30s,HS-grad,Local-gov,Transport-moving,Married,Wife,<=50K
Male,White,47,40s,HS-grad,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,35,30s,Some-college,Private,Craft-repair,Married,Husband,<=50K
Male,White,38,30s,Bachelors,Federal-gov,Prof-specialty,Married,Husband,<=50K
Male,White,52,50s,<HS,Self-emp-inc,Sales,Married,Husband,<=50K
Male,White,32,30s,HS-grad,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,35,30s,Some-college,Private,Sales,Married,Husband,<=50K
Male,White,54,50s,HS-grad,Private,Sales,Married,Husband,<=50K
Male,White,49,40s,Bachelors,Private,Sales,Married,Husband,<=50K
Male,White,40,40s,<HS,Private,Sales,Married,Husband,<=50K
Male,Other,40,40s,<HS,Private,Other-service,Married,Husband,<=50K
Male,White,43,40s,Some-college,Private,Craft-repair,Married,Husband,<=50K
Male,White,31,30s,Bachelors,Local-gov,Machine-op-inspct,Married,Husband,<=50K
Male,White,50,50s,Some-college,Local-gov,Craft-repair,Married,Husband,<=50K
Male,Black,46,40s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,27,20s,Associate,Federal-gov,Adm-clerical,Married,Husband,<=50K
Male,White,34,30s,Some-college,Private,Transport-moving,Married,Husband,<=50K
Male,White,61,60s,Doctorate,Local-gov,Exec-managerial,Married,Husband,<=50K
Male,White,55,50s,HS-grad,Private,Sales,Married,Husband,<=50K
Female,White,33,30s,Some-college,Federal-gov,Tech-support,Married,Wife,<=50K
Male,White,32,30s,Bachelors,Private,Exec-managerial,Married,Husband,<=50K
Male,White,49,40s,HS-grad,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,36,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,42,40s,HS-grad,Private,Sales,Married,Husband,<=50K
Male,White,30,30s,Associate,Private,Sales,Married,Husband,<=50K
Male,White,38,30s,HS-grad,Self-emp-not-inc,Craft-repair,Married,Husband,<=50K
Male,White,26,20s,Some-college,Private,Exec-managerial,Married,Husband,<=50K
Male,White,47,40s,Bachelors,Private,Sales,Married,Husband,<=50K
Male,White,47,40s,Associate,Private,Adm-clerical,Married,Husband,<=50K
Male,White,51,50s,Associate,Private,Other-service,Married,Husband,<=50K
Male,White,28,20s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,34,30s,HS-grad,Local-gov,Protective-serv,Married,Husband,<=50K
Male,White,46,40s,HS-grad,Private,Farming-fishing,Married,Husband,<=50K
Male,Other,45,40s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,41,40s,Some-college,Private,Sales,Married,Husband,<=50K
Male,White,38,30s,<HS,Private,Other-service,Married,Husband,<=50K
Male,White,29,20s,<HS,Private,Craft-repair,Married,Husband,<=50K
Female,White,50,50s,Associate,Private,Sales,Married,Wife,<=50K
Male,White,45,40s,HS-grad,Private,Other-service,Married,Husband,<=50K
Male,White,41,40s,Some-college,Local-gov,Transport-moving,Married,Husband,<=50K
Female,White,23,20s,HS-grad,Private,Machine-op-inspct,Married,Wife,<=50K
Male,White,59,50s,<HS,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,38,30s,<HS,Private,Farming-fishing,Married,Husband,<=50K
Male,White,26,20s,HS-grad,Private,Exec-managerial,Married,Husband,<=50K
Female,White,35,30s,HS-grad,Private,Prof-specialty,Married,Wife,<=50K
Male,White,27,20s,<HS,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,45,40s,Associate,Federal-gov,Protective-serv,Married,Husband,<=50K
Male,White,32,30s,Prof-school,Private,Prof-specialty,Married,Husband,<=50K
Male,White,36,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,43,40s,HS-grad,Private,Handlers-cleaners,Married,Husband,<=50K
Female,White,59,50s,<HS,Private,Other-service,Married,Wife,<=50K
Male,White,27,20s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,24,20s,Bachelors,Private,Prof-specialty,Married,Husband,<=50K
Male,White,34,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,31,30s,HS-grad,Private,Sales,Married,Husband,<=50K
Female,White,31,30s,Some-college,Private,Prof-specialty,Married,Wife,<=50K
Female,Black,32,30s,HS-grad,Private,Handlers-cleaners,Married,Wife,<=50K
Male,White,42,40s,Some-college,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,38,30s,Bachelors,Private,Other-service,Married,Husband,<=50K
Male,White,58,50s,Associate,Private,Exec-managerial,Married,Husband,<=50K
Male,Amer-Indian-Eskimo,51,50s,<HS,Private,Exec-managerial,Married,Husband,<=50K
Female,White,51,50s,HS-grad,State-gov,Adm-clerical,Married,Wife,<=50K
Male,White,44,40s,Masters,Private,Adm-clerical,Married,Husband,<=50K
Female,White,23,20s,HS-grad,Private,Adm-clerical,Married,Wife,<=50K
Male,White,27,20s,Some-college,Private,Tech-support,Married,Husband,<=50K
Female,White,35,30s,Some-college,Private,Adm-clerical,Married,Wife,<=50K
Male,White,33,30s,HS-grad,Private,Transport-moving,Married,Husband,<=50K
Male,White,28,20s,HS-grad,Local-gov,Protective-serv,Married,Husband,<=50K
Male,White,42,40s,HS-grad,Self-emp-not-inc,Sales,Married,Husband,<=50K
Male,White,33,30s,Some-college,Local-gov,Protective-serv,Married,Husband,<=50K
Male,White,21,20s,<HS,Private,Other-service,Married,Husband,<=50K
Male,White,34,30s,Associate,Private,Adm-clerical,Married,Husband,<=50K
Male,White,31,30s,Bachelors,Self-emp-inc,Sales,Married,Husband,<=50K
Male,White,51,50s,Some-college,Private,Transport-moving,Married,Husband,<=50K
Male,White,35,30s,Some-college,Self-emp-not-inc,Exec-managerial,Married,Husband,<=50K
Male,White,36,30s,Associate,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,58,50s,HS-grad,Local-gov,Protective-serv,Married,Husband,<=50K
Female,Black,54,50s,HS-grad,State-gov,Adm-clerical,Separated,Unmarried,<=50K
Female,White,37,30s,HS-grad,Private,Handlers-cleaners,Never-married,Unmarried,<=50K
Female,Black,28,20s,Some-college,Federal-gov,Adm-clerical,Never-married,Unmarried,<=50K
Female,Black,32,30s,Some-college,State-gov,Protective-serv,Never-married,Unmarried,<=50K
Male,White,32,30s,HS-grad,Private,Adm-clerical,Divorced,Unmarried,<=50K
Female,Black,32,30s,Some-college,Private,Tech-support,Separated,Unmarried,<=50K
Male,White,69,60s,Bachelors,Self-emp-inc,Machine-op-inspct,Married,Husband,<=50K
Male,White,65,60s,Associate,Private,Exec-managerial,Married,Husband,<=50K
Male,White,68,60s,HS-grad,Private,Adm-clerical,Married,Husband,<=50K
Male,White,77,70s,Bachelors,Local-gov,Adm-clerical,Married,Husband,<=50K
Male,White,65,60s,Bachelors,Self-emp-not-inc,Sales,Married,Husband,<=50K
Male,White,37,30s,<HS,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,20,20s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,32,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,60,60s,Prof-school,Private,Prof-specialty,Married,Husband,<=50K
Male,White,50,50s,Doctorate,Self-emp-not-inc,Prof-specialty,Married,Husband,<=50K
Male,Black,58,50s,<HS,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,33,30s,HS-grad,Private,Handlers-cleaners,Married,Husband,<=50K
Male,White,20,20s,HS-grad,Private,Adm-clerical,Married,Husband,<=50K
Male,Other,52,50s,HS-grad,Private,Machine-op-inspct,Married,Husband,<=50K
Male,White,48,40s,<HS,Private,Farming-fishing,Married,Husband,<=50K
Male,Black,35,30s,<HS,Private,Transport-moving,Separated,Not-in-family,<=50K
Female,White,33,30s,Some-college,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Female,White,36,30s,Bachelors,Private,Adm-clerical,Divorced,Not-in-family,<=50K
Female,Black,50,50s,<HS,Federal-gov,Sales,Never-married,Not-in-family,<=50K
Female,White,23,20s,Some-college,Private,Adm-clerical,Never-married,Not-in-family,<=50K
Male,White,21,20s,HS-grad,Private,Handlers-cleaners,Never-married,Not-in-family,<=50K
Male,White,25,20s,Bachelors,Private,Prof-specialty,Never-married,Not-in-family,<=50K
Male,White,44,40s,HS-grad,Private,Sales,Divorced,Not-in-family,<=50K
Male,White,41,40s,HS-grad,Self-emp-not-inc,Sales,Divorced,Not-in-family,<=50K
